Date,Open,High,Low,Close,Adj Close,Volume
2019-02-08,22.709999,23.610001,22.219999,23.480000,23.480000,2069900
2019-02-11,23.400000,23.930000,22.440001,22.670000,22.670000,2604500
2019-02-12,22.740000,23.340000,22.629999,23.299999,23.299999,1412300
2019-02-13,23.299999,23.549999,22.799999,23.000000,23.000000,1745400
2019-02-14,22.620001,23.070000,22.340000,22.820000,22.820000,1258900
2019-02-15,22.900000,23.590000,22.900000,23.100000,23.100000,1407100
2019-02-19,23.010000,23.200001,21.190001,21.620001,21.620001,3614200
2019-02-20,22.250000,24.500000,21.799999,24.059999,24.059999,5250100
2019-02-21,24.000000,25.250000,23.910000,24.590000,24.590000,2847900
2019-02-22,24.709999,25.000000,23.540001,23.850000,23.850000,1807800
2019-02-25,24.100000,25.400000,23.870001,24.700001,24.700001,2336700
2019-02-26,25.750000,25.980000,23.469999,24.420000,24.420000,3786900
2019-02-27,24.049999,25.480000,23.860001,24.719999,24.719999,2045200
2019-02-28,24.620001,24.690001,23.690001,24.080000,24.080000,1476600
2019-03-01,24.200001,24.400000,22.870001,23.350000,23.350000,1795300
2019-03-04,23.500000,23.600000,20.930000,21.120001,21.120001,4431000
2019-03-05,21.000000,21.010000,15.380000,17.760000,17.760000,19549700
2019-03-06,18.709999,19.020000,17.680000,18.260000,18.260000,5112000
2019-03-07,18.080000,18.830000,17.680000,18.170000,18.170000,5168300
2019-03-08,17.760000,18.170000,17.400000,18.160000,18.160000,4423200
2019-03-11,18.040001,18.400000,17.690001,17.690001,17.690001,3045000
2019-03-12,17.750000,18.889999,17.469999,17.770000,17.770000,3930000
2019-03-13,17.709999,18.110001,17.590000,17.940001,17.940001,3100800
2019-03-14,18.000000,18.030001,16.860001,17.379999,17.379999,2277000
2019-03-15,17.620001,17.780001,16.809999,17.170000,17.170000,3509700
2019-03-18,17.040001,17.320000,15.620000,16.020000,16.020000,4388900
2019-03-19,15.900000,17.900000,15.770000,17.120001,17.120001,3982900
2019-03-20,17.000000,17.950001,16.730000,16.980000,16.980000,2244700
2019-03-21,15.870000,16.110001,14.810000,16.090000,16.090000,5843800
2019-03-22,16.150000,16.459999,15.590000,15.740000,15.740000,2142500
